"date","region","cum_cases","cum_deaths","daily_cases"
"2023-04-20","Chungcheongbuk-do","973866","1043","415"
"2023-04-20","Gyeonggi-do","8397346","8390","4164"
"2023-04-20","Jeollanam-do","1015055","995","453"
"2023-04-20","Jeju","393987","274","169"
"2023-04-20","Seoul","6044004","6412","3684"
"2023-04-20","Daegu","1353628","1997","396"
"2023-04-20","Gangwon-do","910708","1326","420"
"2023-04-20","Jeollabuk-do","1043499","1226","429"
"2023-04-20","Busan","1836854","2832","405"
"2023-04-20","Gyeongsangbuk-do","1420954","2097","470"
"2023-04-20","Lazaretto","17893","16","0"
"2023-04-20","Gwangju","904507","825","433"
"2023-04-20","Sejong","247079","56","119"
"2023-04-20","Gyeongsangnam-do","1853993","1960","485"
"2023-04-20","Daejeon","905873","947","443"
"2023-04-20","Ulsan","660486","531","119"
"2023-04-20","Incheon","1803987","1898","880"
"2023-04-20","Chungcheongnam-do","1256144","1576","588"
"2023-04-20","Total","31039863","34401","14072"
